Negative_siebert,Neutral_siebert,Positive_siebert,dom_tweet_sent_siebert,total_tweet_count,search_query,coviddomain
0.23,0.0,0.77,Positive,974.0,dr. sadler,0
0.43,0.0,0.57,Positive,423.0,hajia farouq sadiya,0
0.62,0.0,0.38,Negative,831.0,parent,0
0.34,0.0,0.66,Positive,819.0,drake,0
0.6,0.0,0.4,Negative,452.0,coronavirus graph,1
0.42,0.0,0.58,Positive,408.0,sports,0
0.79,0.0,0.21,Negative,923.0,maxine walters,0
0.49,0.0,0.51,Positive,831.0,manager,0
0.86,0.0,0.14,Negative,884.0,states opening too soon,0
0.58,0.0,0.42,Negative,359.0,federal reserve,0
0.45,0.0,0.55,Positive,206.0,oklahoma,0
0.76,0.0,0.24,Negative,798.0,avian flu,1
0.42,0.0,0.58,Positive,296.0,indiana,0
0.35,0.0,0.65,Positive,355.0,jersey shores,0
0.63,0.0,0.37,Negative,115.0,the homeless,0
0.56,0.0,0.44,Negative,423.0,world war3,0
0.27,0.0,0.73,Positive,278.0,chronic illness memes,1
0.21,0.0,0.79,Positive,472.0,jeff lindner,0
0.42,0.0,0.58,Positive,953.0,marvin zindler,0
0.57,0.0,0.43,Negative,379.0,sheev palpatine,0
0.89,0.0,0.11,Negative,9.0,gr old party gop,0
0.73,0.0,0.27,Negative,139.0,deanne lorraine,0
0.52,0.0,0.48,Negative,884.0,sergio ramos,0
0.62,0.0,0.38,Negative,934.0,ebola extra,0
0.27,0.0,0.73,Positive,250.0,working from office vs work from home,0
0.51,0.0,0.49,Negative,393.0,netizens,0
0.61,0.0,0.39,Negative,451.0,melania trump,0
0.61,0.0,0.39,Negative,854.0,circus,0
0.57,0.0,0.43,Negative,937.0,suitcase,0
0.21,0.0,0.79,Positive,228.0,spirit,0
0.44,0.0,0.56,Positive,900.0,tupperware,0
0.61,0.0,0.39,Negative,478.0,unites states,0
0.79,0.0,0.21,Negative,378.0,secret service,0
0.41,0.0,0.59,Positive,872.0,zookeepers,0
0.13,0.0,0.87,Positive,482.0,annabelle,0
0.69,0.0,0.31,Negative,376.0,dfl party,0
0.28,0.0,0.72,Positive,880.0,wellesley,0
0.45,0.0,0.55,Positive,872.0,spaghetti,0
0.44,0.0,0.56,Positive,388.0,conf call,0
0.31,0.0,0.69,Positive,872.0,raavan,0
0.48,0.0,0.52,Positive,159.0,j b pritzer,0
0.65,0.0,0.35,Negative,378.0,democratic presidential,0
0.55,0.0,0.45,Negative,209.0,opinion,0
0.38,0.0,0.62,Positive,474.0,romaninan,0
0.77,0.0,0.23,Negative,241.0,conservative party,0
0.87,0.0,0.13,Negative,282.0,authoritarian,0
0.65,0.0,0.35,Negative,857.0,black death,0
0.81,0.0,0.19,Negative,457.0,liverals,0
0.79,0.0,0.21,Negative,252.0,the white house,0
0.66,0.0,0.34,Negative,248.0,covid,1
0.74,0.0,0.26,Negative,378.0,democrats 1961,0
0.68,0.0,0.32,Negative,100.0,anti-cops protest,0
0.81,0.0,0.19,Negative,439.0,stickman trump,0
0.67,0.0,0.33,Negative,196.0,abc,0
0.5,0.0,0.5,Positive,835.0,jaws,0
0.55,0.0,0.46,Negative,800.0,world economy,0
0.43,0.0,0.57,Positive,668.0,queen elizabeth,0
0.61,0.0,0.39,Negative,393.0,among us memes,0
0.35,0.0,0.65,Positive,376.0,poker,0
0.83,0.0,0.17,Negative,323.0,steve bannon,0
0.73,0.0,0.27,Negative,327.0,elizabeth warrens,0
0.28,0.0,0.72,Positive,434.0,martin luther king mlk,0
0.46,0.0,0.54,Positive,831.0,belgium,0
0.66,0.0,0.34,Negative,319.0,marco robio,0
0.82,0.0,0.18,Negative,866.0,chinese products,1
0.8,0.0,0.2,Negative,414.0,jim crow laws,0
0.69,0.0,0.31,Negative,791.0,tom steyer,0
0.45,0.0,0.55,Positive,541.0,2020,0
0.29,0.0,0.71,Positive,404.0,indian girl,0
0.74,0.0,0.26,Negative,434.0,barron trump,0
